0	"styczeń"     	77
1 	"luty"      	81
2 	"marzec" 		61
3	"kwiecień"		65
4	"maj"				52
5	"czerwiec"		56
6	"lipiec"			76
7	"sierpień"		88
8	"wrzesień"		74
9	"październik"	80
10	"listopad"		93
11	"grudzień"		51
